地址,平均價格,平均坪數,物件數量
淡水區-民權路173巷3號,90000.0,80.0,1
淡水區-英專路79巷12號,85000.0,71.3,1
淡水區-新生街,57500.0,40.0,1
淡水區-淡金路一段537號,55000.0,81.2,1
淡水區-中正東路二段123號,48000.0,69.6,1
淡水區-新民街226巷1號,47999.0,63.4,1
淡水區-學府路100巷11號,45000.0,42.2,2
淡水區-新市二路三段36巷37弄,42000.0,69.2,1
淡水區-民族路132巷1弄,40000.0,49.6,1
淡水區-崁頂五路,37500.0,56.95,2
淡水區-濱海路一段306巷,34933.333333333336,48.5,3
淡水區-水源街二段74巷,34000.0,39.3,2
淡水區-北新路169巷69弄,33333.333333333336,42.166666666666664,3
淡水區-中山北路一段,33325.0,33.75,4
淡水區-新市一路三段59號,33000.0,20.7,1
淡水區-北新路182巷,32000.0,42.7,1
淡水區-民族路17巷2弄8號,32000.0,46.0,1
淡水區-自強路,30380.0,19.98,5
淡水區-濱海路一段306巷60弄,30236.363636363636,34.49090909090909,11
淡水區-淡金路二段179號,30000.0,17.5,1
淡水區-學府路205巷,29999.5,44.85,2
淡水區-水源街一段18巷,29500.0,37.1,2
淡水區-平遠街,29400.0,32.48571428571429,7
淡水區-學府路51巷1弄25號,29000.0,31.0,1
淡水區-民族路33巷,29000.0,25.4,1
淡水區-淡海路189巷,28351.6,36.64,5
淡水區-民生路93號,28000.0,30.8,1
淡水區-北新路169巷87號,28000.0,37.3,1
淡水區-長興街,28000.0,47.0,1
淡水區-中山路108巷,28000.0,32.9,1
淡水區-八勢路2巷,28000.0,36.3,1
淡水區-沙崙路201巷,28000.0,31.9,1
淡水區-中正路二段,27762.5,33.2625,8
淡水區-坪頂路,27583.333333333332,31.933333333333334,6
淡水區-新民街222巷16弄3號,27000.0,19.8,1
淡水區-新市一路一段270號,27000.0,19.8,1
淡水區-崁頂三路,27000.0,18.9,2
淡水區-頂田寮路,27000.0,41.6,1
淡水區-鄧公路25巷,26900.0,20.6,1
淡水區-八勢路,26610.0,29.204545454545453,22
淡水區-新市三路二段267號,26500.0,23.799999999999997,2
淡水區-英專路28巷2弄,26250.0,20.975,4
淡水區-學府路102巷,26000.0,45.7,1
淡水區-自強路128巷,26000.0,32.0,1
淡水區-大忠街123號,26000.0,19.1,1
淡水區-新民街76巷,26000.0,19.2,1
淡水區-水源街一段,26000.0,45.55,2
淡水區-新市一路一段12號,26000.0,6.0,1
淡水區-濱海路一段306巷60弄82號,26000.0,25.0,1
淡水區-濱海路三段148巷50弄,26000.0,31.366666666666664,3
淡水區-中山北路一段255號,26000.0,44.2,1
淡水區-北新路141巷26號,26000.0,51.0,1
淡水區-北新路184巷,25999.75,27.725,4
淡水區-沙崙路二段,25466.636363636364,34.627272727272725,11
淡水區-文化路,25333.333333333332,21.3,3
淡水區-新市三路,25090.0,27.0625,24
淡水區-自強路110號,25000.0,18.1,1
淡水區-新市五路三段256號,25000.0,32.6,1
淡水區-學府路136巷100號,25000.0,19.1,1
淡水區-淡金路二段175號,25000.0,19.3,1
淡水區-八勢路50巷,25000.0,18.0,1
淡水區-真理街2巷2弄,25000.0,28.5,1
淡水區-新民街178號,25000.0,39.8,2
淡水區-水源街二段92巷5弄18號,25000.0,35.0,1
淡水區-中山北路二段,25000.0,37.2,1
淡水區-新市一路三段101巷,24950.0,31.799999999999997,2
淡水區-新市三路一段,24525.0,27.608333333333334,12
淡水區-鄧公路29巷,24500.0,23.6,2
淡水區-八勢路50巷8弄,24500.0,41.05,2
淡水區-水源街二段92巷5弄,24500.0,28.85,2
淡水區-淡金路38巷35弄,24400.0,17.15,2
淡水區-仁愛街,24254.48275862069,25.379310344827587,29
淡水區-新春街125巷,24000.0,24.7,1
淡水區-新市六路一段,24000.0,18.9,1
淡水區-淡金路三段317號,24000.0,25.6,1
淡水區-新市二路三段,24000.0,22.9,1
淡水區-新市五路三段286號,24000.0,50.0,1
淡水區-鄧公路,23988.125,25.471875,32
淡水區-新市一路一段331巷,23955.555555555555,24.033333333333335,9
淡水區-北新路一段,23854.4,27.84,25
淡水區-新民街一段120巷45弄40號,23800.0,39.1,1
淡水區-中正東路二段107巷1號,23500.0,39.7,1
淡水區-濱海路一段306巷9弄,23500.0,24.7,4
淡水區-濱海路一段306巷9弄39號,23300.0,43.7,1
淡水區-水源街二段92巷,23250.0,16.7,2
淡水區-新市一路三段,23187.5,30.55,8
淡水區-真理街3巷23號,23000.0,16.5,1
淡水區-博愛街,23000.0,36.1,1
淡水區-中山北路二段381巷113號,23000.0,16.0,1
淡水區-沙崙路二段831號,23000.0,27.2,1
淡水區-民生路113巷3弄,23000.0,18.049999999999997,2
淡水區-沙崙路,22953.333333333332,24.873333333333335,15
淡水區-新春街126巷,22933.333333333332,26.433333333333334,3
淡水區-民族路,22782.758620689656,24.2,29
淡水區-八勢一街,22765.51724137931,26.13103448275862,29
淡水區-中山北路二段188巷,22750.0,17.45,2
淡水區-學府路,22694.984615384616,25.146153846153847,65
淡水區-學府路181巷,22500.0,28.96666666666667,3
淡水區-新民街180巷7弄,22500.0,25.0,1
淡水區-沙崙路一段126巷,22433.333333333332,24.266666666666666,6
淡水區-新市五路三段,22093.076923076922,25.047435897435896,78
淡水區-水源街二段120巷,22000.0,17.6,1
淡水區-中山北路二段189巷32號,22000.0,23.0,1
淡水區-真理街3巷,22000.0,33.8,1
淡水區-大忠街85號,22000.0,24.0,1
淡水區-中正路二段22巷,22000.0,21.2,1
淡水區-大忠街117號,22000.0,20.7,1
