標題/社區,地址,價格,坪數,房型,建物類型,建物類型_新
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,20000.0,21.5,未知,,其他
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,25000.0,35.0,未知,,其他
海天DEFG棟,淡水區-八勢一街,13600.0,18.0,未知,,其他
淡水幸福城,淡水區-學府路,20800.0,28.0,未知,,其他
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,15300.0,18.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
海洋都心3,淡水區-新市五路三段,13900.0,17.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,25000.0,25.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
海洋都心3,淡水區-新市五路三段,72000.0,57.0,未知,,其他
大旭地,淡水區-北新路一段,32000.0,46.5,未知,,其他
鄉林山海匯,淡水區-八勢路,6000.0,5.0,未知,,其他
宏盛水悅,淡水區-新市三路,19960.0,20.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
淡大溫哥華,淡水區-水源街二段,29000.0,31.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
富麗欣,淡水區-濱海路二段,1900.0,12.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
尚海,淡水區-淡金路,90000.0,80.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
台北GOGO,淡水區-民權路,7000.0,6.0,未知,,其他
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,8900.0,35.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,18000.0,35.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,18000.0,35.0,未知,,其他
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,18000.0,35.0,未知,,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,28633.0,68.8,未知,,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,32258.0,69.4,未知,,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,15000.0,28.9,未知,,其他
宏盛海都 2期,淡水區-新市三路二段267號,22000.0,22.7,未知,,其他
海洋都心,淡水區-新市五路三段,22000.0,19.1,未知,和光同塵全新裝潢少戶數社區住戶單純,其他
和光同塵,淡水區-新市二路三段172巷3弄,22000.0,18.5,未知,,其他
台北灣-江南大宅,淡水區-沙崙路一段,23000.0,32.0,未知,,其他
新市一路三段/中山北路二段,淡水區-新市一路三段101巷17弄,20000.0,15.5,未知,,其他
富陽四季,淡水區-中正東路二段,15000.0,23.0,未知,,其他
3F/4F,淡水區-學府路100巷11號,50000.0,24.4,未知,,其他
5F/5F,淡水區-學府路136巷,7500.0,6.0,獨立套房,,其他
海洋都心,淡水區-新市五路三段,26000.0,32.2,未知,,其他
陽光新苑,淡水區-沙崙路,20000.0,14.9,未知,,其他
有富SUNDAY,淡水區-八勢一街,30500.0,45.0,未知,,其他
台北灣-江南大宅,淡水區-沙崙路一段,13000.0,8.0,獨立套房,【近淡水捷運站紐約公寓菁英套房】D9D,公寓
5F/5F,淡水區-學府路,22600.0,36.0,未知,,其他
川普G3,淡水區-淡金路一段,23000.0,12.0,未知,,其他
摩納哥,淡水區-淡金路38巷,7000.0,6.5,🏡淡水區南勢埔47巷｜獨立套房招租｜可申請租補🏡,,其他
元/月,新北市淡水區真理街❤️❤️❤️,7000.0,12.0,獨立套房,,其他
3F/5F,淡水區-新民街3巷,8200.0,12.0,🏡淡水區南勢埔47巷｜獨立套房招租｜可申請租補🏡,,其他
元/月,🏡淡水區南勢埔47巷｜獨立套房招租｜可申請租補🏡,8200.0,12.0,獨立套房,,其他
3F/4F,淡水區-南勢埔47巷,6800.0,12.0,獨立套房,,其他
元/月,🏡淡水區南勢埔47巷｜獨立套房招租｜可申請租補🏡,6800.0,5.0,獨立套房,,其他
社會住宅包租代管,淡水區-南勢埔47巷,1300.0,5.0,未知,,其他
元/月,🚗🔥震撼開幕！淡水區沙倫路最強CP值車位開搶！,1300.0,7.0,未知,,其他
5坪,淡水區-沙崙路151巷12弄5號,13500.0,7.0,未知,,其他
3F/5F,淡水區-新民街180巷21號,11000.0,7.0,分租套房,,其他
6F/6F,淡水區-新民街162巷7號,11000.0,7.0,分租套房,,其他
4F/5F,淡水區-新民街162巷7號,11000.0,7.0,新北市淡水區中正東路8-7號~套房出租~,,其他
3F/5F,淡水區-新民街162巷7號,6000.0,5.0,獨立套房,,其他
元/月,新北市淡水區中正東路8-7號~套房出租~,6000.0,5.0,獨立套房,,其他
富麗欣,淡水區-濱海路二段,7000.0,7.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
尚海,淡水區-淡金路,13900.0,17.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,90000.0,80.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
海洋都心3,淡水區-新市五路三段,13600.0,18.0,未知,,其他
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,25000.0,25.0,未知,,其他
淡大溫哥華,淡水區-水源街二段,15300.0,18.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
大旭地,淡水區-北新路一段,8900.0,6.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
海洋都心No.3 Ocean city,淡水區-新市三路二段,3000.0,35.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,20800.0,28.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,1900.0,12.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
海洋都心3,淡水區-新市五路三段,20000.0,21.5,未知,台北GOGO社區近竹圍捷運站車位出租,其他
台北GOGO,淡水區-民權路,25000.0,35.0,未知,,其他
海天DEFG棟,淡水區-八勢一街,72000.0,57.0,未知,,其他
淡水幸福城,淡水區-學府路,32000.0,46.5,未知,,其他
鄉林山海匯,淡水區-八勢路,19960.0,20.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
宏盛水悅,淡水區-新市三路,29000.0,31.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
富麗欣,淡水區-濱海路二段,29000.0,31.0,未知,,其他
尚海,淡水區-淡金路,29000.0,31.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
台北GOGO,淡水區-民權路173巷3號,90000.0,80.0,未知,,其他
陽明悅活,淡水區-興福寮88巷,3000.0,6.0,未知,,其他
6坪,淡水區-大同路120巷,6000.0,5.0,獨立套房,,其他
淡大溫哥華,淡水區-水源街二段92巷5弄,25000.0,35.0,未知,,其他
淡水幸福城,淡水區-學府路51巷1弄25號,29000.0,31.0,未知,,其他
宏盛水悅,淡水區-新市三路,13600.0,18.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
4F/6F,淡水區-鄧公路1弄,13900.0,17.0,獨立套房,,其他
海洋都心3,淡水區-新市五路三段,20000.0,21.5,未知,,其他
海天DEFG棟,淡水區-八勢一街63巷,15300.0,18.0,獨立套房,,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,20800.0,28.0,未知,,其他
海洋都心3,淡水區-新市五路三段,18000.0,35.0,未知,,其他
5F/5F,淡水區-學府路,72000.0,57.0,未知,,其他
鄉林山海匯,淡水區-八勢路50巷51號,19960.0,20.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
富麗欣,淡水區-濱海路二段,7000.0,7.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
2F/4F,淡水區-仁愛街2巷,8900.0,8.0,免仲介費近淡水站可補可寵物附基本傢俱裝潢套房一級變頻冷暖氣,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
2F/2F,淡水區-民族路35巷,6500.0,6.0,可租補~淡江大學商管旁~2樓學生套房出租..還有1間,,其他
5F/5F,淡水區-鄧公路32巷,5500.0,5.0,分租套房,,其他
2F/6F,淡水區-北新路182巷21弄,14500.0,14.1,獨立套房,,其他
清淞,淡水區-淡金路,5500.0,5.5,分租套房,,其他
2F/6F,淡水區-學府路205巷1弄,28000.0,42.7,未知,,其他
台北灣一期星海灣大樓區,淡水區-新民街一段,7000.0,6.0,分租套房,,其他
4F/6F,淡水區-學府路205巷,49999.0,81.7,淡江大學金雞母、淡大菁英4間電梯套房，獨立洗衣機，重新裝潢過,,其他
整棟/5F,淡水區-中正東路二段143巷12弄,8300.0,10.0,分租套房,,其他
6F/7F,淡水區-北新路184巷,22999.0,32.0,未知,,其他
無,淡水區-新市二路一段,23000.0,19.2,未知,,其他
南加州,淡水區-民權路23號,20800.0,19.4,未知,,其他
海洋都心No.3 Ocean city,淡水區-新市五路三段,27000.0,35.4,未知,,其他
海天DEFG棟,淡水區-八勢一街,7000.0,7.0,未知,,其他
宏盛水悅,淡水區-新市三路,25000.0,35.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,13900.0,17.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
淡水幸福城,淡水區-學府路,15300.0,18.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
海洋都心3,淡水區-新市五路三段,29000.0,31.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
海洋都心No.3 Ocean city,淡水區-新市三路二段,8900.0,8.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
尚海,淡水區-淡金路,13600.0,18.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,台北GOGO社區近竹圍捷運站車位出租,其他
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,1900.0,12.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,72000.0,57.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
台北GOGO,淡水區-民權路,3000.0,6.0,未知,,其他
鄉林山海匯,淡水區-八勢路,90000.0,80.0,未知,,其他
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,18000.0,35.0,未知,,其他
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,6000.0,5.0,未知,,其他
大旭地,淡水區-北新路一段,19960.0,20.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
淡大溫哥華,淡水區-水源街二段,20800.0,28.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
富麗欣,淡水區-濱海路二段,20000.0,21.5,未知,,其他
海洋都心3,淡水區-新市五路三段,32000.0,46.5,未知,,其他
海天DEFG棟,淡水區-八勢一街,32000.0,46.5,未知,,其他
宏盛水悅,淡水區-新市三路,32000.0,46.5,分租套房,,其他
5F/5F,淡水區-學府路205巷,10000.0,8.0,獨立套房,,其他
淡大金雞母二期A,淡水區-北新路184巷,26000.0,37.0,未知,,其他
日月星辰,淡水區-濱海路一段306巷9弄,20000.0,15.8,未知,,其他
宏盛海都,淡水區-新市三路二段,9000.0,7.0,分租套房,,其他
2F/4F,淡水區-民族路,19900.0,38.0,"步行2分鍾到捷運站精心設計優美套房,",,其他
Park 99,淡水區-義山路一段401巷,9000.0,8.0,獨立套房,,其他
5F/5F,淡水區-平遠街1號,5500.0,6.0,獨立套房,,其他
2F/5F,淡水區-英專路,18000.0,28.1,未知,,其他
海洋都心,淡水區-新市五路三段238號,9000.0,5.0,分租套房,,其他
1F/5F,淡水區-學府路172巷,5500.0,6.0,雅房,,其他
2F/2F,淡水區-自強路,20000.0,23.4,未知,,其他
台北灣 銀河,淡水區-新市一路一段,20000.0,28.0,未知,,其他
江南大宅,淡水區-沙崙路,7000.0,18.0,獨立套房,,其他
4F/5F,淡水區-學府路136巷40弄,21000.0,18.0,新北關渡自強路套房出租-近北藝大,,其他
台北雪梨,淡水區-中正東路一段,7500.0,4.0,分租套房,,其他
1F/4F,淡水區-自強路337巷47號,21000.0,34.6,未知,,其他
海洋都心2,淡水區-新市三路二段,7000.0,8.0,淡大北新路【三荷院】優質電梯獨立套房,,其他
2F/5F,淡水區-新民街53巷,9500.0,11.0,獨立套房,,其他
三荷院,淡水區-北新路192號,5500.0,4.0,分租套房,,其他
2F/3F,淡水區-水源街二段,8600.0,8.0,淡大圖側2分半高樓層無敵山海景和室套房！,,其他
2F/4F,淡水區-新民街,5500.0,5.8,分租套房,,其他
5F/5F,淡水區-水源街二段92巷,24000.0,17.5,未知,,其他
新品苑,淡水區-新市三路一段,9000.0,7.0,分租套房,,其他
2F/4F,淡水區-民族路,28000.0,22.3,未知,,其他
甜水郡名人湯,淡水區-濱海路一段306巷,59800.0,90.0,未知,,其他
水立方,淡水區-淡金路,25000.0,18.8,未知,,其他
台北灣 銀河,淡水區-新市一路一段,28000.0,23.0,獨立套房,,其他
麗陽,淡水區-鄧公路,6500.0,6.0,👑近真理獨立洗衣機全新變頻冷氣溫馨套房可以租❗❗❗,,其他
4F/5F,淡水區-北新路,6000.0,6.0,分租套房,,其他
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,25000.0,35.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
海洋都心3,淡水區-新市五路三段,19960.0,20.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
淡水幸福城,淡水區-學府路,8900.0,8.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
富麗欣,淡水區-濱海路二段,25000.0,25.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
大旭地,淡水區-北新路一段,13600.0,18.0,未知,,其他
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,20000.0,21.5,未知,,其他
